OBJECTID,lat,long,hoverText,heading,weeklyImpr,productTyp,POINT_X,POINT_Y
1469,33.433804,-112.07384,"SB CENTRAL AVE FS PAPAGO ST
",S,22165,SHELTERS,-12476002.8,3953026.765
1470,33.399007,-112.073443,"SB CENTRAL AVE FS ROESER RD
",N,67250,SHELTERS,-12475958.61,3948386.02
1471,33.399007,-112.073443,"SB CENTRAL AVE FS ROESER RD
",S,39900,SHELTERS,-12475958.61,3948386.02
1472,33.403698,-112.073438,"SB CENTRAL AVE FS TAMARISK ST
",N,66513,SHELTERS,-12475958.05,3949011.533
1473,33.403698,-112.073438,"SB CENTRAL AVE FS TAMARISK ST
",S,39634,SHELTERS,-12475958.05,3949011.533
1474,33.384538,-112.07345,"SB CENTRAL AVE FS VINEYARD RD
",N,47199,SHELTERS,-12475959.39,3946456.891
1475,33.384538,-112.07345,"SB CENTRAL AVE FS VINEYARD RD
",S,29162,SHELTERS,-12475959.39,3946456.891
1476,33.425214,-112.073583,"SB CENTRAL AVE FS WATKINS ST
",N,48632,SHELTERS,-12475974.19,3951880.976
1477,33.425214,-112.073583,"SB CENTRAL AVE FS WATKINS ST
",S,29733,SHELTERS,-12475974.19,3951880.976
1478,33.465649,-112.064847,"EB MCDOWELL RD FS 7TH ST
",W,72314,SHELTERS,-12475001.7,3957275.444
1479,33.465649,-112.064847,"EB MCDOWELL RD FS 7TH ST
",E,42911,SHELTERS,-12475001.7,3957275.444
1480,33.465271,-111.961037,"EB MCDOWELL RD FS BUSHMASTER BLVD
",W,80238,SHELTERS,-12463445.63,3957225.003
1481,33.465271,-111.961037,"EB MCDOWELL RD FS BUSHMASTER BLVD
",E,47358,SHELTERS,-12463445.63,3957225.003
1482,33.46559,-112.073403,"EB MCDOWELL RD FS CENTRAL AVE
",W,81047,SHELTERS,-12475954.15,3957267.571
1483,33.46559,-112.073403,"EB MCDOWELL RD FS CENTRAL AVE
",E,50107,SHELTERS,-12475954.15,3957267.571
1484,33.465655,-112.062184,"EB MCDOWELL RD NS 9TH ST
",W,72314,SHELTERS,-12474705.26,3957276.245
1485,33.465655,-112.062184,"EB MCDOWELL RD NS 9TH ST
",E,42911,SHELTERS,-12474705.26,3957276.245
1486,33.378173,-111.992792,"WB BASELINE RD FS 42ND PL
",E,134369,SHELTERS,-12466980.58,3945608.357
1487,33.378173,-111.992792,"WB BASELINE RD FS 42ND PL
",W,79867,SHELTERS,-12466980.58,3945608.357
1488,33.378207,-111.984816,"WB BASELINE RD FS 46TH ST
",E,134369,SHELTERS,-12466092.69,3945612.89
1489,33.378207,-111.984816,"WB BASELINE RD FS 46TH ST
",W,79867,SHELTERS,-12466092.69,3945612.89
1490,33.377804,-112.069995,"WB BASELINE RD FS JESSE OWENS PKY
",E,102412,SHELTERS,-12475574.78,3945559.167
1491,33.377804,-112.069995,"WB BASELINE RD FS JESSE OWENS PKY
",W,60756,SHELTERS,-12475574.78,3945559.167
1492,33.378351,-111.978997,"WB BASELINE RD FS 48TH ST
",E,134369,SHELTERS,-12465444.93,3945632.086
1493,33.378351,-111.978997,"WB BASELINE RD FS 48TH ST
",W,79867,SHELTERS,-12465444.93,3945632.086
